Identifier ,objectid,object_location,,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
tc_1980_hydro_herbicide_probe_ordered_by_ag,jrnphhp_006,/objects/tc_1980_hydro_herbicide_probe_ordered_by_ag.pdf,Herbicide porbe ordered by A-G,Times Colonist,Times Colonist,1980-08-03,,application/pdf,news article,pdf,"BC Hydro; Herbicides; 2,4-D; Hydroelectric",,/objects/small/tc_1980_hydro_herbicide_probe_ordered_by_ag_sm.jpg,/objects/thumbs/tc_1980_hydro_herbicide_probe_ordered_by_ag_th.jpg,
vs_1980_hydro_workers_charged.pdf,jrnphhp_007,/objects/vs_1980_hydro_workers_charged.pdf,"Hydro, Workers Charger ",Vancouver Sun,Vancouver Sun,1980-10-17,,application/pdf,news article,pdf,,,/objects/small/vs_1980_hydro_workers_charged.pdf_sm.jpg,/objects/thumbs/vs_1980_hydro_workers_charged.pdf_th.jpg,
,,,,,,,,,,,,,/objects/small/_sm.jpg,/objects/thumbs/_th.jpg,
1913_nwdn_power_plant_done_in_two_weeks_highest_of_any_in_canada,jrnph1900-1910_001,/objects/1913_nwdn_power_plant_done_in_two_weeks_highest_of_any_in_canada.pdf,Good Progress on Dam,The New Westminster News,The New Westminster News,1910-07-31,,application/pdf,news article,pdf,Hydroelectric; Vancouver Island Power,,/objects/small/1913_nwdn_power_plant_done_in_two_weeks_highest_of_any_in_canada_sm.jpg,/objects/thumbs/1913_nwdn_power_plant_done_in_two_weeks_highest_of_any_in_canada_th.jpg,
1913_week_1_2 _summary_of_jr_infra_in_relation_to_other_power_producers_on_the_island,jrnph1900-1910_002,/objects/1913_week_1_2 _summary_of_jr_infra_in_relation_to_other_power_producers_on_the_island.pdf,Cost of the Dam,The Week,The Week,1913-06-21,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/1913_week_1_2 _summary_of_jr_infra_in_relation_to_other_power_producers_on_the_island_sm.jpg,/objects/thumbs/1913_week_1_2 _summary_of_jr_infra_in_relation_to_other_power_producers_on_the_island_th.jpg,
1913nwdn_2_3_jr_largest_dam_in_canada_built_and_inspected,jrnph1900-1910_003,/objects/1913nwdn_2_3_jr_largest_dam_in_canada_built_and_inspected.pdf,Largest Dam in Canada Built and Inspected,The New Westminster News,The New Westminster News,1913-06-22,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/1913nwdn_2_3_jr_largest_dam_in_canada_built_and_inspected_sm.jpg,/objects/thumbs/1913nwdn_2_3_jr_largest_dam_in_canada_built_and_inspected_th.jpg,
1913nwdn_2_3_start_filling_up_resevoir_for_biggest_dam_in_canada,jrnph1900-1910_004,/objects/1913nwdn_2_3_start_filling_up_resevoir_for_biggest_dam_in_canada.pdf,Jordan Wafer Now Being Stored - Preparing for Dry Months,The New Westminster News,The New Westminster News,1913-05-29,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/1913nwdn_2_3_start_filling_up_resevoir_for_biggest_dam_in_canada_sm.jpg,/objects/thumbs/1913nwdn_2_3_start_filling_up_resevoir_for_biggest_dam_in_canada_th.jpg,
1914nwdn_4_3_summary_of_bcel_orginal_plan_and_extensions,jrnph1900-1910_005,/objects/1914nwdn_4_3_summary_of_bcel_orginal_plan_and_extensions.pdf,Develop Plant to its Full Capacity,The New Westminster News,The New Westminster News,1914-03-13,,application/pdf,news article,pdf,Hydroelectric,The article mentions an increase to 25K horsepower from 12K horsepower though expanding reservoir capacity,/objects/small/1914nwdn_4_3_summary_of_bcel_orginal_plan_and_extensions_sm.jpg,/objects/thumbs/1914nwdn_4_3_summary_of_bcel_orginal_plan_and_extensions_th.jpg,
1915_xwestcall_4_4_details_about_the_water_powers_of_jordan_river,jrnph1900-1910_006,/objects/1915_xwestcall_4_4_details_about_the_water_powers_of_jordan_river.pdf,The Water Powers of British Columbia ,The Western Call,The Western Call,1915-11-12,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/1915_xwestcall_4_4_details_about_the_water_powers_of_jordan_river_sm.jpg,/objects/thumbs/1915_xwestcall_4_4_details_about_the_water_powers_of_jordan_river_th.jpg,
1917_week_1_3_bc_electric_to_sell_its_holdings_to_bc_and_municip_govts.pdf,jrnph1900-1910_007,/objects/1917_week_1_3_bc_electric_to_sell_its_holdings_to_bc_and_municip_govts.pdf,The B.C. Electric Company,The Week,The Week,1917-07--7,,application/pdf,news article,pdf,Hydroelectric; B.C. Electric Company,,/objects/small/1917_week_1_3_bc_electric_to_sell_its_holdings_to_bc_and_municip_govts.pdf_sm.jpg,/objects/thumbs/1917_week_1_3_bc_electric_to_sell_its_holdings_to_bc_and_municip_govts.pdf_th.jpg,
tc_1911_the_power_plant_at_jr,jrnph1900-1910_008,/objects/tc_1911_the_power_plant_at_jr.pdf,The Power Plant at the Jordan River,Times Colonist,Times Colonist,1911-12-20,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/tc_1911_the_power_plant_at_jr_sm.jpg,/objects/thumbs/tc_1911_the_power_plant_at_jr_th.jpg,
the_victoria_daily_times_1909_08_19_1,jrnph1900-1910_009,/objects/the_victoria_daily_times_1909_08_19_1.pdf,To Open City's Lovely Suburbs,Victoria Daily Times,Victoria Daily Times,1909-08-19,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/the_victoria_daily_times_1909_08_19_1_sm.jpg,/objects/thumbs/the_victoria_daily_times_1909_08_19_1_th.jpg,
tp_1909_jr_power_planton_vancouver_island,jrnph1900-1910_010,/objects/tp_1909_jr_power_planton_vancouver_island.pdf,Power Plant on Island,The Province,The Province,1909-10-02,,application/pdf,news article,pdf,Hydroelectric,Plans for Utilization of Jordan River Power Presented for Approval,/objects/small/tp_1909_jr_power_planton_vancouver_island_sm.jpg,/objects/thumbs/tp_1909_jr_power_planton_vancouver_island_th.jpg,
vdt_1909_scope_of_hydro_project_at_jr,jrnph1900-1910_012,/objects/vdt_1909_scope_of_hydro_project_at_jr.pdf,Scope of Project at Jordan River,Victoria Daily Times,Victoria Daily Times,1909-11-05,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/vdt_1909_scope_of_hydro_project_at_jr_sm.jpg,/objects/thumbs/vdt_1909_scope_of_hydro_project_at_jr_th.jpg,
vdt_1910_hydro_payroll_is_a_large_one,jrnph1900-1910_013,/objects/vdt_1910_hydro_payroll_is_a_large_one.pdf,Payroll os a Large One,Victoria Daily Times,Victoria Daily Times,1910-09-17,,application/pdf,news article,pdf,Hydroelectric Labor,,/objects/small/vdt_1910_hydro_payroll_is_a_large_one_sm.jpg,/objects/thumbs/vdt_1910_hydro_payroll_is_a_large_one_th.jpg,
vdt_1915_realize_extent_of_jordan_river_plant,jrnph1900-1910_015,/objects/vdt_1915_realize_extent_of_jordan_river_plant.pdf,Realize Extent of Jordan River Plant,Victoria Daily Times,Victoria Daily Times,1915-07-14,,application/pdf,news article,pdf,Hydroelectric,"Dam took 14 months to Build. 300 ft long, 450 tons ",/objects/small/vdt_1915_realize_extent_of_jordan_river_plant_sm.jpg,/objects/thumbs/vdt_1915_realize_extent_of_jordan_river_plant_th.jpg,
vdt_1919_water_powers_are_asset_which_has_only_begun_development,jrnph1900-1910_016,/objects/vdt_1919_water_powers_are_asset_which_has_only_begun_development.pdf,Water Power are Asser Which Has Yet only Begun Development,Victoria Daily Times,Victoria Daily Times,1919-10-07,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/vdt_1919_water_powers_are_asset_which_has_only_begun_development_sm.jpg,/objects/thumbs/vdt_1919_water_powers_are_asset_which_has_only_begun_development_th.jpg,
1912_week_3_2jrdam_complete,jrnph1900-1910_017,/objects/1912_week_3_2jrdam_complete.pdf,Island Power Company Completes Huge Dam,The Daily News,The Daily News,1912-04-23,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/1912_week_3_2jrdam_complete_sm.jpg,/objects/thumbs/1912_week_3_2jrdam_complete_th.jpg,
1912_week_6_1_summary_of_bcel_talks_about_increased_comsumption_in_vic_and_the_doublinfg_production,jrnph1900-1910_018,/objects/1912_week_6_1_summary_of_bcel_talks_about_increased_comsumption_in_vic_and_the_doublinfg_production.pdf,BCEL Talks about Increased Consumption,The Daily News,The Daily News,1908-09-22,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/1912_week_6_1_summary_of_bcel_talks_about_increased_comsumption_in_vic_and_the_doublinfg_production_sm.jpg,/objects/thumbs/1912_week_6_1_summary_of_bcel_talks_about_increased_comsumption_in_vic_and_the_doublinfg_production_th.jpg,
1912week_6_1_summary_of_project_and_doubling_of_demand_in_victoria,jrnph1900-1910_019,/objects/1912week_6_1_summary_of_project_and_doubling_of_demand_in_victoria.pdf,Millions to Save Millions ,The Week,The Week,1912-11-16,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/1912week_6_1_summary_of_project_and_doubling_of_demand_in_victoria_sm.jpg,/objects/thumbs/1912week_6_1_summary_of_project_and_doubling_of_demand_in_victoria_th.jpg,
1913_1_3_contract_for_steel_pipe_to_add_35k_hp_to_jr_plant,jrnph1900-1910_020,/objects/1913_1_3_contract_for_steel_pipe_to_add_35k_hp_to_jr_plant.pdf,Gets Contract for Welded Steel Pipes,Daily Building Record,Daily Building Record,1913-08-13,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/1913_1_3_contract_for_steel_pipe_to_add_35k_hp_to_jr_plant_sm.jpg,/objects/thumbs/1913_1_3_contract_for_steel_pipe_to_add_35k_hp_to_jr_plant_th.jpg,
1913_nwdn_3_3_annual_meeting_of_bcelectric,jrnph1900-1910_0205,/object/1913_nwdn_3_3_annual_meeting_of_bcelectric.pdf,Annual Meeting of B.C. Electric,The New Westminster News,The New Westminster News,1914-01-08,,application/pdf,news article,pdf,Hydroelectric,Shareholders Opposed Increase of Capital—Decreased Profit Average Return 4.5' Per Cent.,/objects/small/1913_nwdn_3_3_annual_meeting_of_bcelectric_sm.jpg,/objects/thumbs/1913_nwdn_3_3_annual_meeting_of_bcelectric_th.jpg,
1912_nwdn_dam_complete_ready_to_produce_power,jrnph1900-1910_021,/objects/1912_nwdn_dam_complete_ready_to_produce_power.pdf,Jordan River Power Dam Ready for Work,The New Westminster News,The New Westminster News,1913-08-26,,application/pdf,news article,pdf,Hydroelectric,,/objects/small/1912_nwdn_dam_complete_ready_to_produce_power_sm.jpg,/objects/thumbs/1912_nwdn_dam_complete_ready_to_produce_power_th.jpg,
1908_new_west_announcement_of_new_power_plant_at_jr_6_1_3,jrnph1900-1910_022,/objects/1908_new_west_announcement_of_new_power_plant_at_jr_6_1_3.pdf,Water Power Sought by B.C.E.R. Company,The Daily News,The Daily News,1908-09-22,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1908_new_west_announcement_of_new_power_plant_at_jr_6_1_3_sm.jpg,/objects/thumbs/1908_new_west_announcement_of_new_power_plant_at_jr_6_1_3_th.jpg,
1908_weeklyp1col3_4_bcer_power,jrnph1900-1910_024,/objects/1908_weeklyp1col3_4_bcer_power.pdf,The City and the B.C.E.R.,The Week,The Week,1909-02-13,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1908_weeklyp1col3_4_bcer_power_sm.jpg,/objects/thumbs/1908_weeklyp1col3_4_bcer_power_th.jpg,
1909_weekly_1_4_bcer_water_power_proposal,jrnph1900-1910_025,/objects/1909_weekly_1_4_bcer_water_power_proposal.pdf,Still Blocking the Way,The Week,The Week,1909-05-15,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1909_weekly_1_4_bcer_water_power_proposal_sm.jpg,/objects/thumbs/1909_weekly_1_4_bcer_water_power_proposal_th.jpg,
1909_weekly_bcer_1_3,jrnph1900-1910_026,/objects/1909_weekly_bcer_1_3.pdf,The Water By-Law,The Week,The Week,1909-08-21,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1909_weekly_bcer_1_3_sm.jpg,/objects/thumbs/1909_weekly_bcer_1_3_th.jpg,
1909_weekly_bcer_approved_by_the_city_pp_1and6,jrnph1900-1910_027,/objects/1909_weekly_bcer_approved_by_the_city_pp_1and6.pdf,B.C.E.R and Jordan River,The Week,The Week,1909-06-19,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1909_weekly_bcer_approved_by_the_city_pp_1and6_sm.jpg,/objects/thumbs/1909_weekly_bcer_approved_by_the_city_pp_1and6_th.jpg,
1909_weekly_bcer_p6_3,jrnph1900-1910_028,/objects/1909_weekly_bcer_p6_3.pdf,The Jordan River Scheme,The Week,The Week,1909-06-26,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1909_weekly_bcer_p6_3_sm.jpg,/objects/thumbs/1909_weekly_bcer_p6_3_th.jpg,
1909nelsondaily_bcer_approved5_2,jrnph1900-1910_029,/objects/1909nelsondaily_bcer_approved5_2.pdf,Victoria Bylaw Passes,The Daily News,The Daily News,1909-08-26,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1909nelsondaily_bcer_approved5_2_sm.jpg,/objects/thumbs/1909nelsondaily_bcer_approved5_2_th.jpg,
1909weekly_1_2,jrnph1900-1910_030,/objects/1909weekly_1_2.pdf,Jordan River,The Week,The Week,1909-10-30,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1909weekly_1_2_sm.jpg,/objects/thumbs/1909weekly_1_2_th.jpg,
1910_bcer_details_1_3_4,jrnph1900-1910_031,/objects/1910_bcer_details_1_3_4.pdf,The B.C. Electric Company,The Week,The Week,1910-01-08,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1910_bcer_details_1_3_4_sm.jpg,/objects/thumbs/1910_bcer_details_1_3_4_th.jpg,
1910_daily_pipe_contract_secured_8_3,jrnph1900-1910_032,/objects/1910_daily_pipe_contract_secured_8_3.pdf,The Vulcan Iron Works of the city has secured the contract for the assembling of steel pipe ,The Daily News,The Daily News,1910-07-07,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1910_daily_pipe_contract_secured_8_3_sm.jpg,/objects/thumbs/1910_daily_pipe_contract_secured_8_3_th.jpg,
1910_the_week_engineer_that_completes_the_dam_21_2_and_19_5_1_0344213,jrnph1900-1910_033,/objects/1910_the_week_engineer_that_completes_the_dam_21_2_and_19_5_1_0344213.pdf,Engineers and Contractors,The Week,The Week,1910-12-17,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1910_the_week_engineer_that_completes_the_dam_21_2_and_19_5_1_0344213_sm.jpg,/objects/thumbs/1910_the_week_engineer_that_completes_the_dam_21_2_and_19_5_1_0344213_th.jpg,
1911_vanbuildrec_bcer-jr_complete_contract_to_build_power,jrnph1900-1910_034,/objects/1911_vanbuildrec_bcer-jr_complete_contract_to_build_power.pdf,B.C.E.R. Buys Site for Power Plant,Vancouver Building Record,Vancouver Building Record,1911-09-14,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1911_vanbuildrec_bcer-jr_complete_contract_to_build_power_sm.jpg,/objects/thumbs/1911_vanbuildrec_bcer-jr_complete_contract_to_build_power_th.jpg,
1911_week_5_5_amendment_to_the_1909_water_act_by_bcer_for_jr_power,jrnph1900-1910_035,/objects/1911_week_5_5_amendment_to_the_1909_water_act_by_bcer_for_jr_power.pdf,"Water Act, 1909, and Amending Acts",The Week,The Week,1911-06-24,,application/pdf,news article,pdf,Hydroelectric; Law Amendment,,/objects/small/1911_week_5_5_amendment_to_the_1909_water_act_by_bcer_for_jr_power_sm.jpg,/objects/thumbs/1911_week_5_5_amendment_to_the_1909_water_act_by_bcer_for_jr_power_th.jpg,
1912_bc_federationist_1_5_6_rhumours_of_bcel_background_of_operations,jrnph1900-1910_036,/objects/1912_bc_federationist_1_5_6_rhumours_of_bcel_background_of_operations.pdf,B.C. Electric CO. Denies that it will Shut Down Works,The British Colombia Federationist,The British Colombia Federationist,1912-08-24,,application/pdf,news article,pdf,Hydroelectric; B.C. Electric Company,,/objects/small/1912_bc_federationist_1_5_6_rhumours_of_bcel_background_of_operations_sm.jpg,/objects/thumbs/1912_bc_federationist_1_5_6_rhumours_of_bcel_background_of_operations_th.jpg,
1912_building_record_1_2_contract_for_dam_across_jordan _river,jrnph1900-1910_037,/objects/1912_building_record_1_2_contract_for_dam_across_jordan _river.pdf,Contract for Huge Dam Across the Jordan River,Daily Building Record,Daily Building Record,1912-08-22,,application/pdf,news article,pdf,Hydroelectric; B.C. Electric Company,,/objects/small/1912_building_record_1_2_contract_for_dam_across_jordan _river_sm.jpg,/objects/thumbs/1912_building_record_1_2_contract_for_dam_across_jordan _river_th.jpg,
1912_nwdn_3_3_contract_for_earth_damn_in_jr_info_about_size_etc_of_dam,jrnph1900-1910_038,/objects/1912_nwdn_3_3_contract_for_earth_damn_in_jr_info_about_size_etc_of_dam.pdf,B.C.E.R. Building Big Dam at Jordan River,Westminster Daily News,Westminster Daily News,1912-08-25,,application/pdf,news article,pdf,Hydroelectric; B.C.E.R,,/objects/small/1912_nwdn_3_3_contract_for_earth_damn_in_jr_info_about_size_etc_of_dam_sm.jpg,/objects/thumbs/1912_nwdn_3_3_contract_for_earth_damn_in_jr_info_about_size_etc_of_dam_th.jpg,
,,,,,,,,,,,,,,,
1920_bc_fed_3_1_info_on_new_bunks_built_in_jr,jrnph1920-40_001,/objects/1920_bc_fed_3_1_info_on_new_bunks_built_in_jr.pdf,News of the Lumber Workers Industrial Unit of the O.B.U.,The British Colombia Federationist,The British Colombia Federationist,1920-01-28,,application/pdf,news article,pdf,Logging,,/objects/small/1920_bc_fed_3_1_info_on_new_bunks_built_in_jr_sm.jpg,/objects/thumbs/1920_bc_fed_3_1_info_on_new_bunks_built_in_jr_th.jpg,
1920_bcfed_3_1_major_complaints_about_jr_camp_and_description_of_shitty_work,jrnph1920-40_002,/objects/1920_bcfed_3_1_major_complaints_about_jr_camp_and_description_of_shitty_work.pdf,Jordan River Cathels Sorenson Camp,The British Colombia Federationist,The British Colombia Federationist,1920-03-26,,application/pdf,news article,pdf,Settlement,,,,
1920_bcfed_3_1_point_no_point_camp_describes_only_reachable_by_coach_and_poor_conditions_at_the_camp_boss_anti_union,jrnph1920-40_003,/objects/1920_bcfed_3_1_point_no_point_camp_describes_only_reachable_by_coach_and_poor_conditions_at_the_camp_boss_anti_union.pdf,Milligan Bro's Camp,The British Colombia Federationist,The British Colombia Federationist,1920-04-09,,application/pdf,news article,pdf,Settlement,,,,
1920_bcfed_3_3_camp_defending_it_operation_and_the_work_done,jrnph1920-40_004,/objects/1920_bcfed_3_3_camp_defending_it_operation_and_the_work_done.pdf,Lumber and Camp Workers Industrial Unit of the O.B.U.,The British Colombia Federationist,The British Colombia Federationist,1920-04-16,,application/pdf,news article,pdf,Hydroelectric,,,,
1920_bcfed_3_3_mroe_drama_abotu_jr_camp_tied_into_lwiu_union_disputes_of_1919_22,jrnph1920-40_005,/objects/1920_bcfed_3_3_mroe_drama_abotu_jr_camp_tied_into_lwiu_union_disputes_of_1919_22.pdf,Bessborough Day,The British Colombia Federationist,The British Colombia Federationist,1920-04-30,,application/pdf,news article,pdf,Hydroelectric,,,,
1928_nelsondaily_10_4_bcel_to_add_2000_hp_to_jr,jrnph1920-40_006,/objects/1928_nelsondaily_10_4_bcel_to_add_2000_hp_to_jr.pdf,Add Enormously to Present Power,The Daily News,The Daily News,1928-11-14,,application/pdf,news article,pdf,Hydroelectric,,,,
1929_cumberland_1_3_feature_about_bcel_infrastructure_for_van_borad_of_trade_lots_of_info,jrnph1920-40_007,/objects/1929_cumberland_1_3_feature_about_bcel_infrastructure_for_van_borad_of_trade_lots_of_info.pdf,Jordon River Plant Of B.C. Electric Railway Visited By B. of T. Members,Cumberland Islander,Cumberland Islander,1929-07-19,,application/pdf,news article,pdf,Hydroelectric,,,,
1929_cumberlandis_1_3_exmaining_jr_for_potential_development,jrnph1920-40_008,/objects/1929_cumberlandis_1_3_exmaining_jr_for_potential_development.pdf,Largest Water Power On Vancouver Island Will Be Examined for Development Of Power for Industries,Cumberland Islander,Cumberland Islander,1929-07-19,,application/pdf,news article,pdf,Hydroelectric,,,,
the_victoria_daily_times_1930_12_06_16,jrnph1920-40_010,/objects/the_victoria_daily_times_1930_12_06_16.pdf,Jordan River Now Developed to Limit,Victoria Daily TImes,Victoria Daily TImes,1930-12-06,,application/pdf,news article,pdf,Hydroelectric; Railway,,,,
,,,,,,,,,,,,,,,
ame_2015exploration_in_british_columbia_2015_in_review_ame,jr-np-m-general_001,/objects/ame_2015exploration_in_british_columbia_2015_in_review_ame.pdf,Exploration in British Columbia,Association for Mineral Exploration (AME),Association for Mineral Exploration (AME),2015-12-01,,application/pdf,blopost/website,pdf,Mining,,/objects/small/ame_2015exploration_in_british_columbia_2015_in_review_ame_sm.jpg,/objects/thumbs/ame_2015exploration_in_british_columbia_2015_in_review_ame_th.jpg,
barazzuol_and _stewart_2003_historic_mine_sites_in_bc_bcgs_of2003_03,jr-np-m-general_002,/objects/barazzuol_and _stewart_2003_historic_mine_sites_in_bc_bcgs_of2003_03.pdf,Historic Mine Sites in British,Lisa N. Barazzuol and Gregg G. Stewart,Ministry of Energy and Mines Mining Division,2003,,application/pdf,pdf,pdf,Mining; Mining Sites,,/objects/small/barazzuol_and _stewart_2003_historic_mine_sites_in_bc_bcgs_of2003_03_sm.jpg,/objects/thumbs/barazzuol_and _stewart_2003_historic_mine_sites_in_bc_bcgs_of2003_03_th.jpg,
bc_contaminated_mine_site_map_jan_13_2021_low_resolution,jr-np-m-general_003,/objects/bc_contaminated_mine_site_map_jan_13_2021_low_resolution.pdf,BC Contaminated Mine Sites,,International Network for Acid Prevention,2021,,application/pdf,pdf,pdf,Mining; Mining Sites; Map; Contamination; Pollution,,/objects/small/bc_contaminated_mine_site_map_jan_13_2021_low_resolution_sm.jpg,/objects/thumbs/bc_contaminated_mine_site_map_jan_13_2021_low_resolution_th.jpg,
bcmlt_2023_dirty_dozen_report_2023_web,jr-np-m-general_004,/objects/bcmlt_2023_dirty_dozen_report_2023_web.pdf,B.C.’s top polluting and risky mines,,University of Victoria Environmental Law Centre,2023,,application/pdf,report,pdf,Mining; Pollution; Mining Sites,,/objects/small/bcmlt_2023_dirty_dozen_report_2023_web_sm.jpg,/objects/thumbs/bcmlt_2023_dirty_dozen_report_2023_web_th.jpg,
bcmlr_closure_reclamation_abandoned_mines,jr-np-m-general_005,/objects/bcmlr_closure_reclamation_abandoned_mines.pdf,"Closure, Reclamation & Abandoned Mines",,University of Victoria Environmental Law Centre,,,application/pdf,report,pdf,Mining; Reclamation; Abandoned Mines,,/objects/small/bcmlr_closure_reclamation_abandoned_mines_sm.jpg,/objects/thumbs/bcmlr_closure_reclamation_abandoned_mines_th.jpg,
factual_record_bc_mining_submission_98_4_ffr_en,jr-np-m-general_006,/objects/factual_record_bc_mining_submission_98_4_ffr_en.pdf,Factual Record BC Mining Submission,,,,,application/pdf,pdf,pdf,Mining,,/objects/small/factual_record_bc_mining_submission_98_4_ffr_en_sm.jpg,/objects/thumbs/factual_record_bc_mining_submission_98_4_ffr_en_th.jpg,
northern_miner_2012_a_century_of_discovery_ame_bc ,jr-np-m-general_007,/objects/northern_miner_2012_a_century_of_discovery_ame_bc .pdf,A Century of Discovery,Doug Donnelly,ASSOCIATION FOR MINERAL EXPLORATION BRITISH COLUMBIA,2012,,application/pdf,Magazine,pdf,Mining; Mining Industry Publication,,/objects/small/northern_miner_2012_a_century_of_discovery_ame_bc _sm.jpg,/objects/thumbs/northern_miner_2012_a_century_of_discovery_ame_bc _th.jpg,
ross_lindeman_and_kirste_2019_characterization_of_as_and_se_in_pyrites_form_two_historic_mines_sunro_sullivan,jr-np-m-general_008,/objects/ross_lindeman_and_kirste_2019_characterization_of_as_and_se_in_pyrites_form_two_historic_mines_sunro_sullivan.pdf,Characterization study of As and Se in pyrites from two historic mines in British Columbia,Jocelyn Ross-Lindeman; Dirk Kirste,EDP Sciences,2019,,application/pdf,Study,pdf,Mining; Mineralogy,,/objects/small/ross_lindeman_and_kirste_2019_characterization_of_as_and_se_in_pyrites_form_two_historic_mines_sunro_sullivan_sm.jpg,/objects/thumbs/ross_lindeman_and_kirste_2019_characterization_of_as_and_se_in_pyrites_form_two_historic_mines_sunro_sullivan_th.jpg,
shearman_2002_mining_watch_canada_submarine_tailings_disposal,jr-np-m-general_009,/objects/shearman_2002_mining_watch_canada_submarine_tailings_disposal.pdf,Mining’s Problem with Waste,Catherine Coumans,MiningWatch Canada,2002,,application/pdf,pdf,pdf,Mining; Pollution; Contamination,,/objects/small/shearman_2002_mining_watch_canada_submarine_tailings_disposal_sm.jpg,/objects/thumbs/shearman_2002_mining_watch_canada_submarine_tailings_disposal_th.jpg,
soehl_1993_impact_assessment_of_metal_mines_in_bc_a_manuscript_report_prepared_for_cearc_en107_3_136_1993_eng,jr-np-m-general_010,/objects/soehl_1993_impact_assessment_of_metal_mines_in_bc_a_manuscript_report_prepared_for_cearc_en107_3_136_1993_eng.pdf,IMPACT ASSESSMENT OF METAL MINES IN BRITISH COLUMBIA: AN EVALUATION,Thomas Soehl,"The Canadian Environmental Assessment
Research Council",1993-07,,application/pdf,pdf,pdf,Mining,,/objects/small/soehl_1993_impact_assessment_of_metal_mines_in_bc_a_manuscript_report_prepared_for_cearc_en107_3_136_1993_eng_sm.jpg,/objects/thumbs/soehl_1993_impact_assessment_of_metal_mines_in_bc_a_manuscript_report_prepared_for_cearc_en107_3_136_1993_eng_th.jpg,
,,,,,,,,,,,,,,,
hume_2016_the_rebirth_of_bc's_jordan_river_is_a_victory_of_biological_activism_globe_and_mail,jr-np-m-recent_001,/objects/hume_2016_the_rebirth_of_bc's_jordan_river_is_a_victory_of_biological_activism_globe_and_mail.pdf,The rebirth of B.C.’s Jordan River is a victory for biological activism,Mark Hume,The Globe and Mail,2016-10-17,,application/pdf,Article,pdf,Salmon; Mining; Restoration; Logging; Hydroelectric; Activism; Ecology,,/objects/small/hume_2016_the_rebirth_of_bc's_jordan_river_is_a_victory_of_biological_activism_globe_and_mail_sm.jpg,/objects/thumbs/hume_2016_the_rebirth_of_bc's_jordan_river_is_a_victory_of_biological_activism_globe_and_mail_th.jpg,
smart_2016_jordan_river_surfing_area_to_be_tested_for_pollutiontimes_colonist,jr-np-m-recent_002,/objects/smart_2016_jordan_river_surfing_area_to_be_tested_for_pollutiontimes_colonist.pdf,Jordan River surfing area to be tested for pollution,Amy Smart,Times Colonist,2016-10-19,,application/pdf,Article,pdf,Surfing; Pollution; Contamination; Mining,,/objects/small/smart_2016_jordan_river_surfing_area_to_be_tested_for_pollutiontimes_colonist_sm.jpg,/objects/thumbs/smart_2016_jordan_river_surfing_area_to_be_tested_for_pollutiontimes_colonist_th.jpg,
steve_hume_2013_provincial_failures_on_mining_pollution_leaving_taxpayers_on_the_hook_vancouver_sun,jr-np-m-recent_003,/objects/steve_hume_2013_provincial_failures_on_mining_pollution_leaving_taxpayers_on_the_hook_vancouver_sun.pdf,Provincial failures on mining pollution leaving taxpayers on the hook,Stephen Hume,Vancouver Sun,2016-10-16,,application/pdf,Article,pdf,Mining; Salmon; Pollution; Contamination,,/objects/small/steve_hume_2013_provincial_failures_on_mining_pollution_leaving_taxpayers_on_the_hook_vancouver_sun_sm.jpg,/objects/thumbs/steve_hume_2013_provincial_failures_on_mining_pollution_leaving_taxpayers_on_the_hook_vancouver_sun_th.jpg,
